chrom	start	end	CTCF	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K9ac	H3K9me3	H4K20me1	group
chr1	8830000	8930000	12.906	15.6933	5.99854	16.4109	11.6666	10.9527	12.3735	14.7609	3.73851	14.6449	B
chr1	9550000	9650000	16.9232	3.71505	6.18392	8.03118	5.71678	4.95123	5.48811	5.63931	2.52918	5.58188	B
chr1	10350000	10450000	11.979	12.6801	2.1953	15.9716	7.32558	10.7519	14.6593	11.3316	2.48204	5.94878	B
chr1	10950000	11050000	7.38006	6.25588	6.32343	9.36334	4.38603	7.05636	13.5269	9.53341	3.14197	7.06516	B
chr1	11990000	12090000	8.30712	4.86083	9.48973	7.30302	7.40594	4.90506	4.93755	5.56999	4.2879	4.45208	B
chr1	12630000	12730000	4.68979	0.955547	4.98165	1.59478	1.59273	1.25339	0.508739	1.47201	4.52359	2.74508	B
chr1	15270000	15370000	18.5592	10.1393	8.80507	4.02991	7.20343	8.53365	9.60332	7.71073	3.40367	4.91295	B
chr1	16210000	16310000	21.3767	4.02554	11.7585	2.68581	9.341	5.24668	3.05592	6.53638	2.77625	4.2127	B
chr1	17110000	17210000	8.97968	4.59844	5.95815	12.8012	7.85113	6.73321	8.10497	9.45594	2.40402	7.69382	B
chr1	20670000	20770000	13.4877	16.9812	13.4325	5.88969	8.87491	10.9296	22.8584	15.8618	3.44105	5.95549	B
chr1	21350000	21450000	11.9971	7.40167	2.97724	16.313	8.41365	7.46262	9.42909	8.27752	2.73724	8.76545	B
chr1	21830000	21930000	7.61637	2.94755	10.591	10.9056	5.83571	3.96791	1.89906	3.60052	2.70798	6.77208	B
chr1	22190000	22290000	3.10835	8.07514	4.66226	7.07383	7.3304	9.51697	15.8754	10.194	2.90303	23.822	B
chr1	22790000	22890000	12.1426	1.31852	19.6549	2.37306	3.39117	1.8166	0.763108	2.65451	3.5142	5.65571	B
chr1	23110000	23210000	12.9606	1.51095	14.2034	4.02514	3.3076	2.0105	0.832798	2.62189	6.07588	4.77424	B
chr1	23430000	23530000	1.34513	3.63851	4.01983	9.58775	4.8055	3.03306	1.0349	3.41295	2.4154	6.13224	B
chr1	23910000	24010000	13.6695	11.5606	1.6116	15.7042	8.17739	13.7665	25.1756	14.4265	1.89526	10.515	B
chr1	25010000	25110000	12.7424	3.46577	9.27497	6.29793	5.86464	4.19642	1.50182	4.48128	3.39879	10.9579	B
chr1	25390000	25490000	6.90745	11.976	8.21954	8.56356	6.67949	15.0822	31.4512	17.0443	3.17773	7.49918	B
chr1	26010000	26110000	14.2693	17.4535	2.221	12.5219	10.4339	15.4054	23.2765	17.024	1.84487	6.40518	B
chr1	27070000	27170000	8.28894	8.2129	4.2713	14.2145	6.4802	9.4685	18.4366	11.8291	2.67872	6.60205	B
chr1	27470000	27570000	26.9754	16.6445	3.09288	12.4407	9.78458	10.4495	14.5618	14.4306	2.00579	5.60649	B
chr1	27950000	28050000	1.50873	8.17791	1.6685	12.7964	5.55124	7.77192	13.7847	9.56196	2.10819	6.76313	B
chr1	28390000	28490000	8.1617	11.6262	2.28524	15.826	8.01185	11.973	23.6633	14.345	2.16183	12.9647	B
chr1	28790000	28890000	6.58025	13.4564	3.12592	8.98136	7.10218	12.557	17.0218	15.556	2.69497	6.02709	B
chr1	30910000	31010000	12.9606	3.26242	12.21	2.62851	6.14751	3.59858	2.83639	4.66884	3.32727	3.94199	B
chr1	32330000	32430000	3.12653	14.4338	1.58958	17.0054	9.67529	11.5598	14.8161	12.7302	2.45278	12.7746	B
chr1	32590000	32690000	9.87038	10.2049	7.70191	11.512	6.42555	8.45517	11.8787	10.3652	3.88805	5.34249	B
chr1	33270000	33370000	19.4136	18.4921	3.79222	6.34568	9.99995	12.3284	16.4574	13.3378	4.17575	4.49011	B
chr1	33670000	33770000	10.1067	5.28284	3.80507	5.75599	6.82414	5.1682	3.85387	6.07561	4.19688	4.21493	B
chr1	34990000	35090000	7.6709	1.14141	6.0793	3.48797	3.3976	1.98049	0.822345	2.312	2.82338	4.2731	B
chr1	36270000	36370000	13.4332	4.50222	3.98312	7.8187	5.59303	5.279	7.66244	7.07055	2.02529	3.87264	B
chr1	37990000	38090000	4.74433	5.73328	5.68099	10.4973	4.00512	4.9166	8.60326	5.56592	2.24473	6.16803	B
chr1	39030000	39130000	7.77997	3.75659	7.74964	5.50293	3.13563	6.96172	15.1054	7.36413	2.48204	5.06508	B
chr1	39950000	40050000	4.45349	2.7267	13.9501	7.47253	4.47603	4.61884	6.6589	5.04398	3.54183	4.60868	B
chr1	40230000	40330000	4.78068	11.296	2.56975	12.0635	7.57309	8.61906	11.6627	11.6171	2.65271	12.0005	B
chr1	40710000	40810000	1.83593	3.68225	2.25588	6.7587	2.13596	6.74475	14.7848	6.66279	9.28125	2.83456	B
chr1	41190000	41290000	12.906	9.95344	2.14391	15.8809	9.18671	7.18101	7.05614	8.54664	2.13095	7.4522	B
chr1	43370000	43470000	6.96198	9.04818	6.06278	3.81027	5.765	7.7096	9.43606	6.97269	3.28013	3.54153	B
chr1	44910000	45010000	12.9606	6.98621	4.86417	6.40775	6.11054	8.31898	11.1504	8.99109	2.63158	4.96664	B
chr1	50550000	50650000	13.5968	0.4898	5.04773	1.08387	1.10253	1.52807	0.731748	1.42308	2.56819	2.62874	B
chr1	51510000	51610000	7.74361	2.97816	5.72688	5.66289	5.56892	2.91072	1.58197	3.80032	2.13745	4.33574	B
chr1	51990000	52090000	1.78139	3.49857	0.912262	13.5866	4.97104	2.76299	0.696902	2.67898	1.73109	5.10535	B
chr1	52550000	52650000	3.87181	5.45559	1.48311	12.4526	3.71583	7.76269	17.9278	8.78721	1.73922	5.08074	B
chr1	52870000	52970000	5.87133	5.7464	7.55507	4.90608	6.53002	8.74601	12.1609	8.08995	3.40692	5.26195	B
chr1	55230000	55330000	14.7419	1.90672	15.3249	7.87838	5.19927	2.45368	0.919911	3.23353	3.4313	5.26195	B
chr1	56990000	57090000	10.9792	3.34551	5.71953	1.52315	4.16906	2.79762	0.752655	2.70344	2.57144	2.5661	B
chr1	60090000	60190000	5.94404	0.338924	4.21439	0.656532	0.683057	1.21645	0.731748	1.07241	1.47752	1.85913	B
chr1	62310000	62410000	9.6886	1.06706	3.5848	1.94333	1.65701	1.12182	0.484347	2.12035	2.11144	2.65559	B
chr1	62590000	62690000	3.29013	5.80107	4.55213	2.96514	2.4349	5.13358	12.154	7.27851	2.56657	3.19476	B
chr1	62990000	63090000	2.10859	2.93005	2.13657	2.53779	2.11185	3.34006	6.47074	4.35895	1.96515	2.57057	B
chr1	64470000	64570000	4.54437	0.824351	6.98973	1.40617	1.79684	1.33879	0.623728	1.7289	2.75024	2.65111	B
chr1	65230000	65330000	5.67138	4.36009	5.86087	3.03915	3.20635	6.537	10.7114	5.66786	2.34713	3.72274	B
chr1	65910000	66010000	4.90792	0.555398	5.73238	1.07671	1.3629	1.37342	0.540099	1.24774	2.53893	2.21262	B
chr1	66430000	66530000	8.63431	9.04818	3.43245	1.55419	6.96235	5.36902	1.42168	6.35697	2.27724	2.55044	B
chr1	66910000	67010000	6.52572	2.31124	1.68502	12.1088	5.13498	3.41623	1.34502	2.96033	1.30848	4.87268	B
chr1	67710000	67810000	17.4504	2.31999	7.23385	2.21788	4.0662	2.88302	1.4844	3.59644	3.41829	3.39611	B
chr1	67990000	68090000	8.94333	16.4761	1.44457	7.16933	14.7508	14.489	11.9275	12.9545	1.91639	12.8461	B
chr1	68650000	68750000	4.23536	2.52116	2.34215	1.80725	2.77241	4.3857	4.93058	3.5312	1.80749	2.04259	B
chr1	74930000	75030000	3.41737	3.5423	1.39134	6.60829	2.48793	4.48726	7.54397	4.74632	1.88226	3.19028	B
chr1	77310000	77410000	2.72662	0.697528	1.4464	1.95288	1.1845	0.94408	0.271792	1.27221	1.53279	2.00679	B
chr1	78310000	78410000	7.87086	2.50367	2.45595	1.67595	4.60782	3.5755	1.17428	2.63005	2.72423	2.38936	B
chr1	78870000	78970000	1.94499	0.782805	2.7735	1.13878	2.13596	2.21824	0.811891	1.42716	1.90989	1.78754	B
chr1	80410000	80510000	2.05406	0.48324	1.30874	0.59446	0.74413	0.669396	0.313606	0.77882	2.1472	1.38708	B
chr1	84070000	84170000	3.81727	0.997093	2.11087	2.1964	2.24043	1.71273	0.592367	1.52502	1.24834	2.21933	B
chr1	86550000	86650000	2.14494	2.42495	2.77533	2.99617	1.85631	3.83172	6.18501	3.39256	1.90989	2.37593	B
chr1	87270000	87370000	2.56303	1.73617	2.12005	2.13433	3.87173	2.38674	0.637666	1.96948	1.58155	3.31333	B
chr1	88830000	88930000	3.39919	3.24493	2.63583	1.33455	1.81291	4.32107	9.58589	4.70554	2.13095	2.59966	B
chr1	90230000	90330000	2.38125	2.71139	2.78451	5.08514	2.19542	3.6032	6.87843	3.61275	1.92452	3.77867	B
chr1	92510000	92610000	2.96293	3.58822	1.28855	8.52775	2.72419	3.55934	7.65896	4.79525	2.27074	3.65115	B
chr1	92850000	92950000	1.03612	1.48471	1.13803	7.03802	2.44293	1.89508	0.602821	1.67589	2.71448	4.2127	B
chr1	94670000	94770000	7.96174	2.97379	1.26469	8.34631	3.70618	2.40983	0.815376	2.81762	3.19724	5.13443	B
chr1	97070000	97170000	2.0177	2.00293	2.68356	1.29396	2.40597	2.01742	0.515708	1.48424	3.15172	2.14997	B
chr1	98810000	98910000	1.65415	1.62465	2.61013	1.06955	1.32111	3.44162	7.44292	3.18052	2.32112	2.24394	B
chr1	99950000	100050000	3.72639	2.33092	4.22724	2.1773	3.12438	3.74631	3.2162	3.44557	2.28862	2.5482	B
chr1	103910000	104010000	0.29084	0.137756	0.882893	0.606397	0.28608	0.489352	0.310122	0.497466	3.56621	1.22824	B
chr1	108070000	108170000	3.61732	0.23834	2.45778	0.611171	0.445192	0.620923	0.271792	0.950079	1.14268	1.80544	B
chr1	108610000	108710000	0.690745	0.325804	2.73495	0.752027	0.662163	0.798659	0.418141	0.872605	2.10819	1.92625	B
chr1	109770000	109870000	16.2689	8.32004	10.0918	5.22838	7.33201	11.5344	20.4576	10.5406	3.23462	4.60197	B
chr1	110350000	110450000	17.1232	4.28794	13.7445	15.4679	7.16647	6.40774	7.78092	6.82589	3.36628	7.16136	B
chr1	110790000	110890000	15.4509	1.99637	12.8433	1.85261	4.12727	2.12591	0.682964	3.32732	2.65922	3.88382	B
chr1	112670000	112770000	19.6317	14.1801	8.62519	4.96338	7.47183	11.2043	12.5686	10.8953	2.94042	6.05841	B
chr1	114150000	114250000	4.08994	6.4811	1.90529	3.15852	3.8653	8.27051	15.9521	8.56702	1.74409	3.40506	B
chr1	115070000	115170000	2.65391	6.10501	2.55323	6.61545	2.87044	6.79091	14.5478	7.68626	1.97816	8.75203	B
chr1	116070000	116170000	6.72567	1.05394	6.55103	0.902433	1.42397	1.48652	0.57146	1.56172	1.60756	2.48556	B
chr1	116870000	116970000	5.92586	1.02771	6.86307	1.80009	2.15524	2.44214	3.15	2.63413	3.19073	3.68918	B
chr1	118270000	118370000	2.54485	2.21503	3.15529	4.23523	1.30665	3.97021	10.5999	4.63215	1.40113	3.06724	B
chr1	120030000	120130000	7.38006	6.63854	5.826	10.156	6.58788	7.6242	7.18506	7.81267	2.65434	6.88394	B
chr1	148430000	148530000	10.5793	10.9615	3.39024	6.82077	6.97039	17.4343	27.9806	17.3175	2.31462	4.26191	B
chr1	149530000	149630000	7.88903	11.3725	3.68209	15.6971	8.64991	12.4208	12.6104	12.1798	2.84939	7.16807	B
chr1	151610000	151710000	3.58097	0.485427	6.54369	1.03851	1.22629	1.04564	0.35542	1.12949	2.41377	3.41177	B
chr1	152350000	152450000	4.41713	7.54598	3.9409	11.1897	6.25358	7.63804	10.8194	8.39577	2.51293	10.8774	B
chr1	153390000	153490000	39.5906	19.9528	3.1406	13.1497	10.4885	21.8546	30.27	21.7295	2.16508	5.24406	B
chr1	156310000	156410000	21.1041	2.33748	7.31278	9.98645	3.91673	4.21027	3.28241	3.90633	2.37476	5.27761	B
chr1	157330000	157430000	8.37983	0.334551	5.46072	0.768739	0.816453	1.20261	0.672511	1.19473	1.72947	2.50793	B
chr1	159610000	159710000	4.16265	7.45852	10.156	3.83892	9.90834	15.7885	26.775	10.0676	17.2329	8.931	B
chr1	159950000	160050000	7.23464	7.06711	1.68869	4.70077	4.70104	8.78987	17.8302	9.35808	1.44664	4.01806	B
chr1	160730000	160830000	1.47238	10.7647	1.6061	10.261	6.97361	10.7427	16.0253	10.0105	2.07893	6.20159	B
chr1	161010000	161110000	5.59867	2.66766	3.26359	5.26419	4.17548	5.47982	6.15365	3.40887	2.19597	2.95761	B
chr1	161550000	161650000	4.79886	2.13413	3.471	2.2155	1.7663	3.86634	7.00038	3.93896	1.33936	2.04259	B
chr1	163390000	163490000	0.599857	0.233967	2.77166	0.587298	0.4693	0.537825	0.282245	0.913381	1.61406	2.15669	B
chr1	165010000	165110000	1.81775	2.6939	2.06314	7.24095	2.56186	3.27543	4.90619	3.79216	2.74211	3.8704	B
chr1	165870000	165970000	9.03422	5.78795	11.1748	3.06779	5.06748	9.38771	16.6699	8.85653	2.94367	6.33582	B
chr1	166450000	166550000	2.7448	3.09186	2.25771	6.57009	3.87494	3.96329	5.57522	3.78808	2.31787	4.4834	B
chr1	167950000	168050000	2.03588	2.60644	3.98128	1.96243	1.43683	2.97535	7.0422	4.00012	1.61406	2.19248	B
chr1	169670000	169770000	4.48984	5.7311	2.2522	6.53667	4.58693	6.13998	9.88905	7.01346	2.02367	11.2846	B
chr1	170630000	170730000	10.2703	2.30906	5.87739	2.20356	3.60493	3.42546	4.43578	3.75546	2.08544	3.37821	B
chr1	172430000	172530000	3.23559	1.00803	1.36564	2.66433	2.00578	1.4519	0.484347	1.72482	2.40077	2.85694	B
chr1	173190000	173290000	7.97992	7.71216	3.39391	4.14928	4.05977	7.69113	14.7778	9.13381	1.64494	4.01358	B
chr1	177270000	177370000	5.9804	10.194	1.59325	14.3936	10.4419	8.82911	6.8401	7.86976	2.14558	8.00032	B
chr1	178030000	178130000	14.5238	9.26684	7.30727	9.75726	7.05718	11.4536	17.9069	11.0625	2.56169	7.01594	B
chr1	179390000	179490000	10.8156	0.922748	7.83407	1.62342	2.55704	2.08205	0.811891	2.28753	3.58084	3.11198	B
chr1	182950000	183050000	5.9804	5.85136	1.70154	4.85117	4.24138	5.48443	9.87162	5.50067	1.91964	3.53929	B
chr1	185190000	185290000	3.09017	4.0824	2.50734	1.36797	4.02762	3.76016	0.843252	2.51588	2.21385	2.02916	B
chr1	190650000	190750000	4.16265	2.82072	1.88877	1.51599	3.62422	2.86225	0.777046	2.70752	2.5243	1.93967	B
chr1	191230000	191330000	2.54485	4.70339	0.899413	6.57964	2.80776	5.6414	10.8647	6.26318	1.93752	4.59526	B
chr1	194310000	194410000	1.41784	0.852777	1.529	0.723379	1.50915	1.53269	0.442533	1.1458	1.87413	1.52579	B
chr1	196910000	197010000	4.79886	1.12173	1.84471	0.947793	2.43329	2.70759	0.940818	1.92055	1.16706	1.58172	B
chr1	197750000	197850000	2.3449	0.964294	4.86784	0.880946	1.77434	1.99434	0.557522	1.12949	2.87702	2.07838	B
chr1	198750000	198850000	2.14494	1.9592	3.18282	4.22807	2.91384	1.8143	0.724779	2.40986	1.89689	3.11422	B
chr1	199610000	199710000	20.9223	20.5279	13.6546	5.47906	13.3863	12.1622	16.9556	15.2787	3.97257	6.89065	B
chr1	200050000	200150000	15.5599	18.6365	1.67034	16.9146	13.3606	8.91913	10.6522	14.712	1.74084	8.3359	B
chr1	200350000	200450000	22.6128	3.83094	16.9934	5.35491	5.02247	5.27669	9.38728	7.05831	3.43617	7.21058	B
chr1	201190000	201290000	12.3607	5.62395	7.50368	9.01955	7.47987	11.2713	21.7643	11.2582	2.48529	6.22396	B
chr1	201430000	201530000	21.3949	14.1452	13.326	2.64761	8.82188	6.26001	3.5542	7.21734	4.179	4.04938	B
chr1	201670000	201770000	20.8314	13.4761	8.56462	3.13703	14.2654	7.04713	2.18479	11.0747	2.78762	4.11649	B
chr1	202030000	202130000	7.85268	8.98914	1.59141	16.6186	6.26323	7.50186	12.7498	8.94216	2.26098	10.8103	B
chr1	202710000	202810000	6.59843	7.30983	5.02937	9.51852	5.86464	9.9163	16.2309	9.21536	2.69335	7.27098	B
chr1	203510000	203610000	15.0328	36.2561	10.3965	10.4544	18.5116	14.7383	14.0949	20.2208	3.32402	7.44549	B
chr1	204570000	204670000	0.50897	7.60721	3.02313	13.219	12.655	7.53417	1.99314	5.7331	3.41829	9.65363	B
chr1	205230000	205330000	8.85244	2.92787	6.88877	2.54973	4.83443	6.11228	10.4431	5.36204	2.14395	3.27977	B
chr1	205850000	205950000	2.78116	1.08893	6.27937	1.20802	1.75988	2.4306	1.92694	1.65143	2.26911	2.26855	B
chr1	207950000	208050000	10.0522	4.5219	5.07342	2.01734	5.14623	5.95301	5.25464	5.32126	2.07731	2.47437	B
chr1	210190000	210290000	13.8331	4.11519	1.07195	5.15676	3.53261	6.11459	9.04579	5.39058	1.81399	3.92857	B
chr1	211270000	211370000	2.25401	3.05032	2.16777	4.53843	3.74958	4.16872	5.86792	3.64537	2.38777	4.83241	B
chr1	212390000	212490000	3.18106	0.756566	10.2313	1.30113	1.97042	3.14386	1.95133	2.06734	2.54706	2.5303	B
chr1	218150000	218250000	1.94499	1.39506	3.0011	6.19766	1.88684	1.72427	0.784015	1.65143	1.87413	2.97998	B
chr1	218950000	219050000	14.2148	3.7719	5.06975	3.11554	4.48407	5.70834	5.01421	4.58729	2.09356	3.03144	B
chr1	219630000	219730000	7.03469	2.93005	3.22871	1.48257	5.13498	4.44341	1.10459	3.37217	2.42353	2.34014	B
chr1	220890000	220990000	2.21765	6.73038	1.42805	10.9772	3.20474	5.68525	14.8998	7.76782	1.22558	4.40733	B
chr1	222670000	222770000	8.23441	12.6517	2.0301	6.46266	9.62547	11.359	12.1784	10.0961	2.31625	5.59083	B
chr1	223590000	223690000	1.47238	3.89872	3.13693	4.71271	2.98777	5.94609	10.0563	4.98282	1.78961	3.59298	B
chr1	224430000	224530000	6.96198	4.12613	4.48789	4.61721	3.50046	4.75733	9.1782	5.60669	2.2431	5.86153	B
chr1	225670000	225770000	6.56208	3.1181	7.01359	1.87171	3.72868	2.97766	1.44956	3.24984	3.63123	3.01578	B
chr1	226350000	226450000	13.3968	13.686	4.06571	8.61131	9.54993	11.4651	23.8445	14.1411	2.39752	8.91534	B
chr1	226830000	226930000	3.59914	2.72233	10.5121	3.07018	5.25391	11.5621	17.7884	6.12862	15.8952	4.159	B
chr1	227670000	227770000	8.48889	5.14509	1.55286	11.5168	4.05012	6.06843	12.931	7.84121	1.6742	4.75187	B
chr1	228670000	228770000	0.563502	0.802485	2.67988	1.05045	0.945029	0.987937	0.515708	1.14173	4.30903	1.90612	B
chr1	229410000	229510000	6.08946	3.0372	3.53708	7.84257	2.37704	4.2726	8.8193	5.75756	2.54056	4.13887	B
chr1	229750000	229850000	6.16217	3.50076	3.2232	4.42622	4.83604	5.9507	6.25818	4.76263	2.28536	4.71831	B
chr1	232510000	232610000	8.45254	5.61302	4.52093	4.19703	3.54386	5.46135	10.6556	6.94822	2.22847	2.78087	B
chr1	233670000	233770000	6.32577	6.12031	1.7768	8.51582	4.00994	5.26053	10.4884	6.27134	1.98466	4.52814	B
chr1	234270000	234370000	7.9981	5.94539	6.12886	5.00874	6.04465	7.3195	8.66598	6.37736	4.48296	4.92413	B
chr1	238110000	238210000	10.034	0.699714	5.00735	0.878559	1.297	1.29263	0.404203	1.24367	2.83801	2.01127	B
chr1	238910000	239010000	6.30759	5.26098	3.48569	2.35158	5.8775	4.57267	1.1464	3.61683	3.25087	2.63769	B
chr1	239710000	239810000	3.072	2.14506	3.42695	3.25162	2.09739	4.33492	6.22334	3.27431	1.50028	2.26631	B
chr1	241250000	241350000	0.109065	1.98763	4.34288	4.14212	2.6583	2.38213	2.04889	2.44248	3.1566	2.91958	B
chr1	245030000	245130000	0.745277	1.97013	3.62519	8.75933	2.51043	2.29903	0.623728	2.03472	2.50155	4.23954	B
chr1	245550000	245650000	11.2337	6.29306	2.99743	5.88253	6.43037	7.26641	8.15027	6.87482	3.5467	4.39839	B
chr1	6050000	6150000	5.30783	0.830911	10.9508	1.8741	2.31757	1.37803	0.581914	1.93278	3.04282	3.74064	B
chr1	7890000	7990000	11.4155	11.3135	5.70485	9.85275	8.20954	7.60111	9.2235	9.66797	3.27363	6.04722	B
chr1	8270000	8370000	14.0876	14.2064	3.47651	17.8935	14.4245	7.81809	4.11521	10.5814	2.90303	9.46346	B
chr1	12190000	12290000	12.8333	2.99784	4.24927	14.2336	4.25745	3.70246	5.23722	4.61176	2.8754	6.27765	B
chr1	16670000	16770000	1.10883	6.98621	15.8939	14.119	6.88039	12.0261	14.8649	11.4866	5.05348	8.02717	B
chr1	17570000	17670000	12.7788	6.26244	7.94788	11.4141	5.52392	5.89761	9.53362	7.89422	3.00381	7.31125	B
chr1	19030000	19130000	23.3217	8.34847	5.14501	6.85181	8.8283	5.60908	4.84696	8.0614	2.25123	5.35368	B
chr1	24790000	24890000	7.70726	6.94248	6.09398	10.1989	4.84247	5.47982	10.6626	8.84022	3.01844	6.44321	B
chr1	26630000	26730000	7.6709	7.25954	4.9174	11.481	5.15748	9.944	17.5898	10.5569	2.54218	6.35819	B
chr1	44190000	44290000	14.7965	10.0081	2.4945	12.0802	9.63029	14.759	25.8446	14.5203	1.55392	7.4701	B
chr1	45750000	45850000	9.48865	12.3281	3.08003	11.1801	6.81289	13.3441	25.8899	14.1615	2.59257	9.03168	B
chr1	46550000	46650000	10.7793	4.82366	5.96733	9.32037	3.82833	4.72963	7.5823	6.67094	3.87667	4.66909	B
chr1	54030000	54130000	5.27147	5.22162	2.09251	9.53762	4.18031	6.46314	11.3177	6.9156	2.4349	5.17023	B
chr1	63710000	63810000	2.89022	3.26898	1.21145	2.98424	2.29989	4.03946	7.45686	4.41196	1.44826	2.46542	B
chr1	77990000	78090000	1.76322	8.33753	1.64097	7.8569	6.46573	7.95428	12.3038	7.76782	2.07081	5.59754	B
chr1	85470000	85570000	15.4145	23.342	2.6395	7.20036	13.5904	16.1555	17.4539	16.8772	2.34876	6.4544	B
chr1	91630000	91730000	2.41761	0.673475	4.54846	1.09581	0.932171	1.54884	2.05935	1.83084	2.45604	2.18801	B
chr1	92150000	92250000	2.12677	1.6815	4.75955	2.18207	2.66955	1.93894	0.85719	2.41801	2.75187	3.065	B
chr1	94110000	94210000	6.01675	4.85645	4.88436	5.50771	3.58725	6.76783	14.6245	7.02162	3.62147	4.58184	B
chr1	95310000	95410000	3.14471	5.94539	5.73422	2.35874	3.32689	5.86299	10.0946	6.54862	2.74211	2.78311	B
chr1	101610000	101710000	0.963407	0.362977	4.15933	0.761577	0.593054	0.734028	0.236947	0.933769	1.77823	1.97547	B
chr1	112990000	113090000	21.0495	15.5643	3.6619	13.1044	10.196	15.0753	22.7678	15.0015	2.27561	7.21505	B
chr1	113390000	113490000	13.7604	5.30471	2.1696	10.6024	5.05301	5.02971	8.71825	6.66687	2.25936	6.15013	B
chr1	117590000	117690000	2.49032	1.68369	6.97321	1.68072	2.58597	2.11668	0.700387	2.23452	2.75187	2.76074	B
chr1	150230000	150330000	16.7778	12.4571	9.17401	3.6909	5.36641	11.6083	18.0672	13.7252	2.82176	5.20826	B
chr1	152190000	152290000	7.08922	18.9579	3.29112	10.2085	7.16004	21.0698	39.5806	23.5603	3.04444	6.69154	B
chr1	158230000	158330000	19.668	1.45628	13.4563	2.57122	2.74348	4.95123	8.11891	4.49351	2.50155	3.62207	B
chr1	164110000	164210000	10.1976	17.6153	2.73311	6.32181	11.305	5.62755	1.30321	7.99616	2.28049	4.99125	B
chr1	178390000	178490000	16.6506	15.7567	12.8414	31.0193	10.1976	13.4572	22.6354	14.9852	3.51094	16.4928	B
chr1	178670000	178770000	10.2521	14.178	1.80984	7.56325	7.8672	8.82449	10.5023	9.65574	3.68487	6.82801	B
chr1	181030000	181130000	1.87228	3.96432	3.84361	13.1999	2.94116	4.83812	8.42903	4.96243	1.7636	9.25988	B
chr1	183910000	184010000	4.23536	1.74273	3.61784	1.30113	2.69848	5.07126	4.65879	2.97257	2.24798	2.10075	B
